人名,x坐标,y坐标,z坐标
一灯大师,-0.04109858410596562,-0.03647741196149652,0.02181525878304652
丁不三,0.001839150938426947,-0.02676259885869516,0.013843009452793454
丁不四,0.037135155443947465,-0.053378963164235356,0.000550826839572749
丁典,-0.00346700163495456,0.00957867247321831,-0.043449352024445144
丁同,-0.03258336329186707,-0.005518124152219809,-0.012929933788193248
丁大全,-0.03729870930073047,0.032343847263313324,-0.019115058799228195
丁敏君,-0.04500471172167296,-0.06009080100812812,0.025532631395001327
丁春秋,-0.013432426146385635,-0.01376562239096568,0.02855301769638426
丁游,-0.007704919883359442,0.01794899180940135,0.0035573642481725835
丁老怪,0.020089062716305617,0.028187215913961925,-0.004815868571475497
万圭,0.021535063619739565,0.031212188885010803,0.023910898617726217
万庆澜,-0.04522994032887582,-0.023061715151053555,0.005009524094536593
万里风,0.02323792064837786,0.00879289649528028,-0.02092929088978627
万震山,-0.029348670202003744,0.023478636815504463,0.016295662932192465
上官,-0.02189194967508688,-0.0023794864350981508,0.016602100673473917
上官云,-0.05884177834047258,-0.00797924727259347,-0.025596549818140902
上官毅山,0.011314705870823097,0.05804649622290032,0.021589216338892925
上官虹,0.03813784432936378,-0.03937340593916564,0.030989379976698914
上官铁生,0.012806368604056737,0.00882457612930753,-0.007121382099631247
不平道人,0.02778553431428509,-0.0007237554702014131,0.0027004398303368403
不戒和尚,0.03839502830248023,0.025727666430240964,0.013446897864343154
丑脸汉子,0.03124157083268366,0.010800257595060429,-0.0003677575040447338
严三星,0.007129704914818696,-0.0527957164892172,-0.06174214710676186
严妈妈,-0.004049837828074775,-0.021751643435239134,-0.015361491113960596
丧门鬼,0.056173711662814506,0.0010826143226993156,-0.029909685849070618
中年武师,0.01694546925743803,-0.03535204699418878,-0.02415046027203866
乌旺阿普,-0.06091402640639148,-0.02066720282857754,-0.04493019803151732
乌老大,-0.027316344748233804,0.01541024934045192,0.0064424701081587646
乐厚,0.000506233025291695,-0.030982159239646857,-0.020587216220818716
