人名,x坐标,y坐标
一灯大师,0.04949009354542046,0.019582950796810546
丁不三,0.020589239298954193,0.0016820465254986639
丁不四,0.030181609266735035,0.007391186073722218
丁典,-0.03547234728074372,-0.0023017244764314015
丁同,-0.019015182879280442,0.020014838471277756
丁大全,0.025824826922173718,0.01842742772809978
丁敏君,-0.0082251867489225,-0.02676528354104604
丁春秋,0.00570784024723274,-0.030291437978061848
丁游,-0.043968517702896656,-0.012666146103195827
丁老怪,-0.020229698320138833,0.008152756959253004
万圭,0.011785866613902768,-0.05278232520668531
万庆澜,-0.0014405026347452034,0.020015825986934754
万里风,0.017344009793771698,-0.025900400218770304
万震山,0.015527923353499173,-0.012092585098365726
上官,0.039772371319589175,-0.015490901747529031
上官云,-0.01814241496609698,-0.03367342670066605
上官毅山,-0.0668276447917007,-0.008667467829637437
上官虹,-0.014788744568010347,0.03481237176552098
上官铁生,0.005201800770566235,-0.02651865666702745
不平道人,-0.032977362205956595,0.02581315133909742
不戒和尚,-0.00555938804129203,0.036335537253937164
丑脸汉子,0.0006620243615191643,-0.008767742100523232
严三星,0.016892716994374234,0.005781366240642157
严妈妈,0.007774653448667503,-0.008723586948716054
丧门鬼,-0.024460416620962593,0.05119923297978677
中年武师,0.006847720163079368,-0.02758691083915963
乌旺阿普,0.02589699931852108,-0.01468247264730027
乌老大,-0.05766072106057075,0.023953048946199696
乐厚,-0.023574937745227932,-0.00609041873766328
乔寨主,0.048385603674672664,0.013036766582116513
乔峰,-0.013897298584488451,0.024562977005837795
乔帮主,0.039907813296239,0.04175786647689458
乔福,0.012104970594966066,0.008799605221717332
九难,-0.06105765496352807,0.003412067985913582
乾隆皇帝,0.027383533542670733,0.011356247395190384
于万亭,0.015471507504873002,-0.019426461545958312
于人豪,0.025099823965257513,-0.018766830658491437
于嫂,-0.0033896088016444666,0.005909706888790694
于管家,0.002328938874329767,0.07032863987791711
云中鹤,-0.008282772165717723,0.005107412174080966
云鹤,0.004086191915898006,0.001479898780188063
五姑,-0.03780366152958503,0.024891978770477243
五毒教,0.007496524306377029,0.010354675198791144
人厨子,-0.007916418864441973,-0.029236886017329464
令狐冲,-0.04160701519810385,0.03262810000664854
仪清,-0.01233209853090215,0.003650289486443236
仪琳,0.0003905709920771664,0.025612527193050887
任我行,0.01886555234595063,0.01997243878632403
任通武,0.007930727578997383,-0.018527239112696894
任飞燕,0.014751978926916256,-0.048777977440824405
传功长老,-0.00010970588492922547,0.0007606862776104132
何太冲,-0.015469396594326263,-0.060941747646669805
何思豪,-0.042787054898396654,0.027008025532480877
何惕守,0.01724894173350912,0.06761576862265574
何红药,-0.021768959645784375,-0.05032841010105492
何足道,0.01471038234070182,-0.07256565483972942
何铁手,0.024283963970256908,0.007121612578100084
余人彦,-0.021437170243813322,0.0066415356969443
余兆兴,-0.01161519396421345,-0.01153140807408191
余婆婆,0.024654482575520185,-0.03848157873073208
余沧海,0.022256963801504222,-0.009291049086767303
余鱼同,-0.00564813984478103,-0.00355074495165903
佟国纲,-0.06012523948702175,0.021781020489671798
侍剑,-0.02123407623975623,0.05386785454570251
侯通海,-0.067402168705741,0.001316648087816413
侯飞文,0.0286502328326075,-0.013082252840528955
俏鬼,-0.009402105863759268,-0.03488147894093042
俞三侠,-0.04467004239815332,0.003445699349288037
俞岱岩,0.0280293573854058,0.03611553144696204
俞朝奉,0.04346662451662757,0.05723478919040922
倪不大,0.00013353459960180192,-0.003960455626846206
倪不小,0.038044495155861315,-0.01972963006150408
倪浩,-0.02147521420512322,-0.022549305147661833
傅思归,-0.012383596011655167,-0.0521489162939341
傻姑,0.01673948319827163,0.019342522249701854
元义方,-0.003631463950778743,0.03613797242722277
元伤,0.036148743837626375,0.01203640663858876
元广波,0.011744802457335493,0.018672798162716917
元悲,0.0010808117971180119,-0.04361891937211359
元澄道人,0.013865997862933466,-0.011810348530472898
元痛,-0.004734480412973484,0.01254817299636839
兆惠,0.042319798416209344,0.053112533317994294
全冠清,-0.021643281338303077,-0.021287554743240854
全金发,-0.06009774577309419,-0.040896640519759005
公冶乾,-0.004683037490306066,0.01873064269803523
公孙止,0.04050957317234493,-0.06375646044659367
公孙绿萼,0.023952883853688888,0.014981533178763067
公孙谷主,-0.023588689177290297,-0.020124242064110523
兰剑,0.001604805921639104,0.00824641605555843
关安基,0.0184906365200019,0.03073713833265375
关明梅,0.004724907545663777,-0.02838075462525162
农夫,0.058768845552802824,-0.0025485373195932677
农妇,0.02116709956086549,-0.012790865789186106
冯不摧,-0.029225589521504725,0.02970949953767519
冯不破,-0.013752887367067139,0.017418566971941385
冯同知,-0.012979963728148807,0.021308911174788767
冯坦,-0.0017489851525782556,-0.01757513870821263
冯振武,-0.01675004629234954,0.013388933791688385
冯辉,-0.02370342321516866,-0.037474428457218364
冯锡范,-0.03364352762205612,0.0028564055807524377
冯阿三,-0.03018769265513158,-0.04342616003406396
冯难敌,0.026916615672233593,-0.007952343422430674
冯默风,-0.04263011684385823,0.015356786493601565
冲虚,0.019044422668851313,0.004424144334169451
冷谦,0.01042182537146554,0.019083092594330858
净济,-0.019629660312507815,-0.017315106936564125
净清,0.04582579196675705,-0.006238877847643863
凌退思,-0.015540940044521319,-0.07843835611646445
凤一鸣,0.02448607937503814,-0.04053919434770595
凤七,-0.027204148965262586,0.0504112371100703
凯别兴,0.03455972265993271,0.0015722061259264288
出尘子,0.07335627292278969,0.03368350240320493
刀白凤,-0.037010623684094836,0.0052590144653839625
刘一舟,0.010910153653757335,0.025954545071172876
刘之余,-0.014380992638617146,-0.06514281608313337
刘乘风,0.0002933358208036846,0.03773005189379806
刘元鹤,0.016790452741294922,0.01967143924644837
刘培生,-0.011147148213955517,0.009003606050423394
刘处玄,-0.034197222614945344,0.00346845080410012
刘宗敏,0.04140561218498844,0.03496264479432849
刘正风,-0.013546195255379354,0.024614291281287847
刘竹庄,0.009451175402244341,0.05122279394327127
刘芳亮,0.003569885095018762,0.01501117392458448
刘芹,0.0420793589734688,0.02667356490733082
刘鹤真,-0.018078082179363554,0.008910248690648251
努儿海,-0.018278313433091564,0.030644066599082503
劳德诺,0.05032992016553026,0.050569351006647174
包不同,0.030552162781118053,-0.03404916019212946
包惜弱,0.013304256227338955,-0.01921594850035263
华伯斯基,0.01219994039713923,0.008241187417218023
华筝,-0.013369210264310075,0.029635568953899197
华赫艮,0.05217639001110898,-0.018674167199142232
卓不凡,-0.008669982421121438,0.030220551120686598
卓天雄,0.00148780712048958,-0.0036694456711819576
单伯山,0.022570204111457957,-0.02403620246510558
单季山,0.040176412364858964,-0.009797490633413002
单小山,0.04896368543566686,-0.015091803952139132
单正,0.029158258141557848,0.039653750994421304
单铁生,-0.05060214899679966,0.017296603391189293
南仁通,0.004976391061865046,0.05076580779360182
南兰,-0.019763842530148082,-0.03317390956360926
南希仁,-0.0013132423808831443,0.02632294811579676
南怀仁,0.023389455105766208,-0.025453178597850956
博尔忽,0.009336683893943301,0.02023426829657297
博尔术,0.030960871882233367,0.010959290587501759
卜垣,0.008857002776570871,-0.0380511182805026
卜沉,0.0021259320959084727,0.006213953731508242
卢一峰,-0.0013346097027225597,0.04343667531916119
卫四娘,0.010679508854569676,-0.005858918812056335
卫天望,0.015372720402240846,0.013215256269633505
卫春华,-0.024523784478774256,0.029632658868576314
卫璧,-0.037730510652691215,0.00778578930318631
双儿,0.01789978586185283,-0.0479455035379287
古笃诚,-0.03571338287425451,0.021374283085764747
史仲俊,0.03245483917933027,0.0500238869429377
史仲猛,-0.014715501345120334,0.02729400360971115
史伯威,-0.04913539585155091,-0.01922851404287508
史叔刚,0.037796100419116026,0.011687442723976892
史季强,0.004217142375255034,-0.021082080274879338
史小翠,-0.024921977561639958,0.007616655486218499
史松,-0.06083477058373242,-0.015081791438988384
史火龙,-0.009200529189470712,0.017682098011610865
史登达,-0.04619736782214409,0.03424100656537132
史秉光,0.013874367851576452,-0.013297277058807835
史红石,0.060027736389752465,-0.038452052446286696
史镖头,-0.03531464017596157,0.0308869167197938
叶二娘,0.0007361286005941489,0.001978753449327562
司徒伯雷,0.05327752058136981,-0.01900640378437677
司徒千钟,-0.010207389206612775,-0.022880069000708023
司徒横,0.0027344667217110985,0.002690331866841204
司徒雷,-0.01622289717429654,-0.03158071346477984
司徒鹤,0.09506635310188999,0.06111009372942252
司空玄,0.04095565189761244,0.03381396030384688
司马大,0.009581074995882729,0.028829198084061303
司马林,0.001388196152990819,-0.003313574490629409
吊死鬼,-0.0165732273966618,0.031103303082868693
国师,-0.02182577244251213,0.039056720105944305
向大年,-0.037074998061751116,0.05392898493467625
向问天,0.016600639298313333,0.0036227366372974957
吕小妹,-0.0146734243425391,0.0188130355097949
吕文德,0.0381755052157545,-0.010125985971720085
吕正平,-0.01613691418225933,-0.020723822025828075
吕留良,0.02902248026484665,-0.0009609199246707957
吕通,0.04312704063926419,-0.00458588861004583
吴三桂,0.014748139956026737,0.025973280580216106
吴之荣,0.0036970274839212875,0.07207699239672917
吴光胜,-0.007885319028126796,-0.010234492880875795
吴六奇,-0.04715833587682638,0.005118011121711476
吴劲草,-0.0030164954961107754,-0.002641755281563626
吴国栋,-0.021035933546155832,-0.014555042640364137
吴坎,-0.047955429522490975,0.028136043049563977
吴大鹏,-0.013875354445322589,-0.024941883176386185
吴天德,0.0021420063999298524,-0.022451542857166214
吴平,-0.0016008923200881238,0.04125994335682184
吴应熊,-0.013748871876677794,-0.0032695410203784623
吴立身,-0.0818391943664916,0.04629817596664852
吴良,0.019742359833312736,-0.00047332160209796666
吴道通,0.01712430576549563,0.009750850999955091
吴长风,0.013402513186449498,0.024374998942795524
吴青烈,-0.07142538071211552,0.002742183149354865
吴领军,-0.05837920522447827,-0.011089784328630288
周云阳,0.11227387475718968,-0.04878922965879911
周仲英,-0.006444960711345732,0.005162732341828165
周伯通,0.016986506123216474,-0.010296758702264661
周圻,-0.036467888628817724,0.04233312528930445
周大奶奶,0.02707573740262749,-0.011314199029398824
周威信,-0.021072040133650466,-0.026813703812849907
周掌门,0.02337433900662546,0.0046762167146919605
周牧,0.04973523642998241,-0.02030743413579512
周芷若,-0.02494047274830238,-0.029472504187559888
周英杰,0.0357119776432351,0.06020551381590814
周阿三,-0.015757723782950712,-0.01818826124931726
周隆,0.015912052914480716,-0.020415921582817242
周颠,0.007057500291843257,0.037251603563060225
呼巴音,0.05721810833042327,-0.03327270446458562
呼延万善,-0.005393679214848434,-0.03321183202403101
呼音克,0.0015880966242905565,-0.022504025038626196
和尔大,0.0870264408833252,0.019777987840754453
哈合台,0.057044299624584106,0.020440117581433458
哈大霸,-0.029709480040087995,-0.0054131457030146555
哈总管,0.008700274856004253,-0.021990089823919843
哑婆婆,-0.006697905083462776,0.009695067774134473
哑巴,-0.023809144734245075,-0.007513916759728589
哑梢公,0.019896973476020048,0.052975741265587656
哲罗星,0.05368689153578182,0.021982001645368437
唐光雄,0.027774251101603007,-0.01131391732895838
唐六爷,-0.03830905142864203,0.035525557279215574
唐文亮,0.007586725467532056,0.007052797332946696
唐洋,-0.027926456012451722,0.06299592460900766
商宝震,-0.017620377576718943,-0.008771890599104739
商老太,-0.00014869665297468273,0.009705799825821565
喀丝丽,-0.03327891608650792,-0.044179399386571686
图尔布青,0.022563698859782447,0.004110288140275025
圆业,0.0009463736936452216,0.0009010210354676752
圆心,0.03567541112626923,0.019683634957368842
圆音,-0.02973338499827655,0.046996327014928556
圣因师太,-0.010548734167521712,-0.002114371951251595
圣姑,0.0029088522639319258,-0.020570124878014705
夏国相,-0.002395608843103856,-0.004350631328359409
夏胄,0.01294692588968175,0.0015576873346070073
夏雪宜,0.00887449829615785,0.011469741668918804
多尔衮,-0.022577617337693413,0.008438588656619995
多隆,0.0061009124315154865,0.016006506010180162
大头鬼,0.03770970651424,-0.010707109356457765
大悲老人,-0.018152386142930754,-0.020390335207152867
大智禅师,-0.017692621325108893,0.009523828658161503
大痴,-0.010731495531845724,-0.02198813552939399
大癫,-0.014201650433884066,0.034970029866325573
大苦,0.02049969450663954,0.001011791209790712
天乙道人,0.022912458261304388,-0.017216505365061318
天山童姥,0.02204075036135591,0.012146200966793367
天松道人,-0.023338151879072927,-0.04224063954092812
天狼子,-0.00831689931289486,-0.0514497683457576
天竺僧,-0.01913075801471258,0.002456665911971828
天竺僧人,0.019452722932713735,0.04116229783068008
天虚,-0.0034398233723345393,-0.007526764622288067
天虹禅师,0.033138154113952344,-0.045436072036643946
天镜,-0.021243358065452814,-0.008832649617379607
天门道人,-0.0030402236468915957,-0.021827134832139262
太皇太后,0.022828144289521134,-0.01962894108587982
奚长老,0.006522530367883855,-0.0021516645042310165
妙风使,-0.0054908642467140075,-0.0362812693522133
姑姑,0.07013963405697896,0.016121366553399928
姚伯当,-0.012679023230908254,-0.003326023535672551
姚春,0.024347523785207024,0.04930200938542912
姚清泉,-0.0025573793000534984,-0.021807821896088767
姜铁山,0.006466798907318325,-0.0030255028089124763
姥姥,0.0003640395062629944,-0.013810825993307612
姬晓峰,0.02683057842040934,0.01646746136105365
孙三毁,-0.006438985391586404,-0.004713935416461382
孙不二,-0.009840051968830562,0.042420290685333796
孙仲寿,0.007529138629985052,0.01838919817854695
孙伏虎,-0.02846897378137148,0.0037166763812888247
孙克通,0.048079560451880325,0.0072028118512388484
孙刚峰,-0.03322240593743685,0.03452831839857118
孙均,-0.0389330970572699,-0.042609868906617436
孙大善,-0.02622101089893256,-0.029215458525863748
孙婆婆,-0.00396588678270178,0.033537983569697775
孙思克,-0.03013214298904025,0.006592884678848509
孙老三,-0.06117646694932987,0.016619067812334506
孟伯飞,0.004048190453739629,-0.012813539945265068
孟健雄,0.027745975142242717,0.04390351343728653
孟正鸿,0.009662931509587764,-0.014326509111303763
孟铮,0.02758899465344596,-0.0030301574791203236
孟铸,0.019225592805443156,0.04287947758975417
季长老,0.012979830927650714,0.026849344838101617
宁女侠,-0.022188892047292075,0.0441805800279082
宁完我,0.05706277017101385,-0.029863678256084863
安健刚,-0.09325522198716378,-0.008325725543758251
安剑清,0.056781679644811796,-0.03158738664228621
安大娘,-0.02268113008184249,0.013251604176642775
安奉日,-0.005152930011176701,0.02012583493869499
安小慧,-0.009680891468410642,-0.001578583274780117
安提督,-0.005764754322747231,0.009379612280724627
宋五,0.03726067829244239,-0.00766574094215377
宋善朋,-0.02856283993858076,0.009397671823630624
宋大侠,0.01815194648001358,-0.05840538832467139
宋天保,0.035528569616313614,0.03862548700200988
宋德方,0.0061582285010812615,0.024557112937099647
宋献策,0.09287257379887748,-0.005317382276466961
宋远桥,-0.019970736954645744,0.007726620168667207
宋长老,0.023366424846978578,-0.026832575498120757
宋青书,0.035734151774967686,-0.010077098944892516
完颜洪烈,0.00038179056073827175,-0.0430222231035463
完颜洪熙,-0.0030226246058878362,0.03579015533574082
完颜萍,-0.019444972218012446,0.026375726369245327
宗维侠,-0.008561603264203304,0.010180880284307891
宗赞王子,-0.06512689831667193,0.02895877924100473
宗雄,-0.013867046382239599,-0.007176510302881734
宝树,-0.02592159844517817,-0.045793688524265436
宝象,-0.04168848237761217,0.009959970434723762
室里,0.03836375079722425,-0.042541948932076815
宫九佳,-0.00873752398238834,-0.06728196696260363
容子矩,0.013093895038061286,0.013506867593126172
察合台,-0.03710337407698224,-0.006637887016043129
察尔珠,-0.022523552528996474,-0.017368029189999887
寿南山,-0.045765086400320294,0.020218587435973122
封万里,0.07586469922693245,0.020785693380680603
封坛主,-0.008978800341866959,0.017361215959559213
尉迟连,0.030698613209429768,0.0209976244541077
小凤,0.05023626005556431,-0.04668935883427099
小宝,-0.015518213981656153,0.021043732182496565
小昭,-0.00800056381727942,-0.01692556322896715
小桂子,-0.028421611443358145,-0.06478872218840968
小棒头,0.007643207403527014,-0.017521255819194885
小玄子,-0.01840525712242644,-0.004610708334042443
小王将军,-0.003692431156985087,-0.030750955718877922
小王爷,0.040678643483095425,-0.017516968800898623
小翠,0.033854152620650245,0.0031701367010223826
小菊,-0.039930561592226924,0.09612920119330326
小阿紫,-0.02980547550947734,-0.010658629851425355
小龙女,0.03901716543170163,0.017025250870666378
尤得胜,-0.008038004347786242,0.0015044120703503556
尹克西,-0.01310712854404625,-0.004146190459034589
尹志平,0.028999883602106126,-0.0016464263214165916
尹章垓,-0.018739480946641213,-0.06565324758963094
尼摩星,0.022677160682383346,-0.015080737128383448
展飞,0.038630004261540916,-0.02390251369554808
岑其斯,0.005449361868384471,0.006234009320584271
岳不群,-0.04454178096364209,0.0095100921511727
岳先生,0.0356595111856245,0.0352051492760755
岳姑娘,0.0200573638232515,-0.011110124076904154
岳灵珊,-0.006245706871905784,-0.027542930549444088
岳老三,0.037344834731763775,-0.002158497933729661
崔希敏,-0.05194788403620786,-0.01987656107056591
崔志方,0.03030036650067657,-0.01570153178097708
